"plot","code","species","spha","forest","aoi","loc","treated"
167601,"QUKE","Black oak",381,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167603,"CADE","Incense cedar",20,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167603,"PILA","Sugar pine",40,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167603,"QUCH","Canyon live oak",722,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167603,"QUKE","Black oak",1183,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167605,"CADE","Incense cedar",20,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167605,"PILA","Sugar pine",140,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167606,"CADE","Incense cedar",160,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167606,"PILA","Sugar pine",381,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167606,"QUCH","Canyon live oak",160,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167606,"QUKE","Black oak",221,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167616,"CADE","Incense cedar",20,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167616,"PILA","Sugar pine",20,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167616,"QUCH","Canyon live oak",140,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167616,"QUKE","Black oak",100,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167621,"CADE","Incense cedar",241,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167621,"PILA","Sugar pine",40,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167621,"QUCH","Canyon live oak",1564,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167621,"QUKE","Black oak",441,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167625,"CADE","Incense cedar",2045,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167625,"PILA","Sugar pine",241,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167625,"QUCH","Canyon live oak",1023,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167625,"QUKE","Black oak",1203,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167644,"CADE","Incense cedar",180,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167644,"PILA","Sugar pine",60,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167644,"QUCH","Canyon live oak",20,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
167644,"QUKE","Black oak",341,"Stanislaus","Stanislaus - Groveland","Long Shanahan","Yes"
241000,"CADE","Incense cedar",341,"Yosemite","Yosemite","Studhorse North","Yes"
241000,"QUCH","Canyon live oak",60,"Yosemite","Yosemite","Studhorse North","Yes"
242000,"QUCH","Canyon live oak",20,"Yosemite","Yosemite","Studhorse North","Yes"
245000,"CADE","Incense cedar",441,"Yosemite","Yosemite","Studhorse North","Yes"
245000,"PILA","Sugar pine",40,"Yosemite","Yosemite","Studhorse North","Yes"
247000,"CADE","Incense cedar",80,"Yosemite","Yosemite","Studhorse North","Yes"
247000,"QUCH","Canyon live oak",40,"Yosemite","Yosemite","Studhorse North","Yes"
248000,"ABCO","White fir",221,"Yosemite","Yosemite","Studhorse North","Yes"
248000,"CADE","Incense cedar",642,"Yosemite","Yosemite","Studhorse North","Yes"
248000,"PILA","Sugar pine",321,"Yosemite","Yosemite","Studhorse North","Yes"
248000,"QUKE","Black oak",40,"Yosemite","Yosemite","Studhorse North","Yes"
249000,"CADE","Incense cedar",742,"Yosemite","Yosemite","Studhorse North","Yes"
249000,"PILA","Sugar pine",20,"Yosemite","Yosemite","Studhorse North","Yes"
249000,"QUCH","Canyon live oak",20,"Yosemite","Yosemite","Studhorse North","Yes"
249000,"QUKE","Black oak",20,"Yosemite","Yosemite","Studhorse North","Yes"
301000,"ABCO","White fir",20,"Yosemite","Yosemite","Studhorse North","No"
301000,"CADE","Incense cedar",301,"Yosemite","Yosemite","Studhorse North","No"
301000,"PILA","Sugar pine",261,"Yosemite","Yosemite","Studhorse North","No"
301000,"QUCH","Canyon live oak",140,"Yosemite","Yosemite","Studhorse North","No"
301000,"QUKE","Black oak",341,"Yosemite","Yosemite","Studhorse North","No"
302000,"ABCO","White fir",120,"Yosemite","Yosemite","Studhorse North","No"
302000,"CADE","Incense cedar",1263,"Yosemite","Yosemite","Studhorse North","No"
